Changed database context to 'HQT_BanChuan'.
TABLE_SCHEMA TABLE_NAME COLUMN_NAME DATA_TYPE IS_NULLABLE
------------ ---------- ----------- --------- -----------
bronze Bronze_Customer CustomerId varchar NO
bronze Bronze_Customer CustomerName nvarchar YES
bronze Bronze_Customer Phone varchar YES
bronze Bronze_Customer Gender nvarchar YES
bronze Bronze_Customer TotalSpent decimal YES
bronze Bronze_Customer CreatedAt varchar YES
bronze Bronze_Customer sys_created_at datetime YES
bronze Bronze_Customer sys_updated_at datetime YES
bronze Bronze_Customer is_deleted bit YES
bronze Bronze_Employee EmployeeId varchar NO
bronze Bronze_Employee FullName nvarchar YES
bronze Bronze_Employee Phone varchar YES
bronze Bronze_Employee Email varchar YES
bronze Bronze_Employee Username varchar YES
bronze Bronze_Employee PasswordHash varchar YES
bronze Bronze_Employee RoleId varchar YES
bronze Bronze_Employee HireDate varchar YES
bronze Bronze_Employee IsActive int YES
bronze Bronze_Employee sys_created_at datetime YES
bronze Bronze_Employee sys_updated_at datetime YES
bronze Bronze_Employee is_deleted bit YES
bronze Bronze_InventoryAlert AlertId varchar NO
bronze Bronze_InventoryAlert MedicineId varchar YES
bronze Bronze_InventoryAlert AlertType varchar YES
bronze Bronze_InventoryAlert StockSnapshot int YES
bronze Bronze_InventoryAlert MinStock int YES
bronze Bronze_InventoryAlert Note nvarchar YES
bronze Bronze_InventoryAlert Status varchar YES
bronze Bronze_InventoryAlert CreatedBy varchar YES
bronze Bronze_InventoryAlert sys_created_at datetime YES
bronze Bronze_InventoryAlert sys_updated_at datetime YES
bronze Bronze_InventoryAlert is_deleted bit YES
bronze Bronze_Manufacturer ManufacturerId varchar NO
bronze Bronze_Manufacturer ManufacturerName nvarchar YES
bronze Bronze_Manufacturer Country nvarchar YES
bronze Bronze_Manufacturer sys_created_at datetime YES
bronze Bronze_Manufacturer sys_updated_at datetime YES
bronze Bronze_Manufacturer is_deleted bit YES
bronze Bronze_Medicine MedicineId nvarchar YES
bronze Bronze_Medicine MedicineName nvarchar YES
bronze Bronze_Medicine CategoryId nvarchar YES
bronze Bronze_Medicine UnitId nvarchar YES
bronze Bronze_Medicine ManufacturerId nvarchar YES
bronze Bronze_Medicine ProductType nvarchar YES
bronze Bronze_Medicine DrugRegistrationCode nvarchar YES
bronze Bronze_Medicine ListPrice nvarchar YES
bronze Bronze_Medicine MinStock nvarchar YES
bronze Bronze_Medicine IsActive nvarchar YES
bronze Bronze_Medicine Ingredient nvarchar YES
bronze Bronze_Medicine Usage nvarchar YES
bronze Bronze_Medicine Dosage nvarchar YES
bronze Bronze_Medicine Route nvarchar YES
